GLOBAL_POINT,BRAID_ID,PIN,BRIAD,PLUG_PART_NUMBER,FLEX_PLUG_PART_NUMBER,PIN_TYPE
1,,,1,NONE,NONE,BOTH
2,,,2,NONE,NONE,BOTH
3,,,3,NONE,NONE,BOTH
4,,,4,NONE,NONE,BOTH
5,,,5,NONE,NONE,BOTH
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
